"segment_id","name","category","episode_id","segment_order_in_episode"
202011071,"Biden Victory","Cold Opening",20201107,0
202011072,"","Monologue",20201107,1
202011073,"Fired Mascots","Sketch",20201107,2
202011074,"Mario Memories","Miscellaneous",20201107,3
202011075,"Take Me Back","Film",20201107,4
202011076,"""Shame Shame""","Musical Performance",20201107,5
202011077,"","Weekend Update",20201107,6
202011078,"News Center 5 Albany","Show",20201107,7
202011079,"DC Morning","Show",20201107,8
2020110710,"""Times Like These""","Musical Performance",20201107,9
2020110711,"","Goodnights",20201107,10
202010311,"A Holiday Message from former Vice President Joe Biden","Cold Opening",20201031,0
202010312,"","Monologue",20201031,1
202010313,"Cinema Classics - The Birds","Show",20201031,2
202010314,"Strollin'","Music Video",20201031,3
202010315,"Sleepy Hollow","Sketch",20201031,4
202010316,"New York PSA","Miscellaneous",20201031,5
202010317,"""The Adults Are Talking""","Musical Performance",20201031,6
202010318,"","Weekend Update",20201031,7
202010319,"Souvenir Underwear","Musical Sketch",20201031,8
2020103110,"""Bad Decisions""","Musical Performance",20201031,9
2020103111,"Uncle Meme","Sketch",20201031,10
2020103112,"","Goodnights",20201031,11
202010241,"The Presidential Debate","Cold Opening",20201024,0
202010242,"","Monologue",20201024,1
202010243,"Psychic Reading","Sketch",20201024,2
202010244,"The Haunted Manor","Film",20201024,3
202010245,"The Bachelor","Show",20201024,4
202010246,"Trump Addicts of America","Commercial",20201024,5
202010247,"""Damage""","Musical Performance",20201024,6
202010248,"","Weekend Update",20201024,7
202010249,"Visiting Grandma","Sketch",20201024,8
2020102410,"Tourism Board of Africa","Commercial",20201024,9
2020102411,"""Hold On""","Musical Performance",20201024,10
2020102412,"Ass Angel Perfumed Jeans","Commercial",20201024,11
2020102413,"","Goodnights",20201024,12
202010171,"Dueling Town Halls","Cold Opening",20201017,0
202010172,"","Monologue",20201017,1
202010173,"Bonjour Hi!","Show",20201017,2
202010174,"5-hour Empathy","Commercial",20201017,3
202010175,"First Date Exes","Sketch",20201017,4
202010176,"""Holy""","Musical Performance",20201017,5
202010177,"","Weekend Update",20201017,6
202010178,"Your Voice Chicago","Show",20201017,7
202010179,"Dancer","Film",20201017,8
2020101710,"""Lonely""","Musical Performance",20201017,9
2020101711,"Jack Flatts","Commercial",20201017,10
2020101712,"eBay","Commercial",20201017,11
2020101713,"","Goodnights",20201017,12
202010101,"Vice Presidential Debate","Cold Opening",20201010,0
202010102,"","Monologue",20201010,1
202010103,"New Normal","Sketch",20201010,2
202010104,"The Blitz","Show",20201010,3
202010105,"Enough is Enough","Film",20201010,4
202010106,"""Ball and Biscuit"", ""Don't Hurt Yourself"", ""Jesus Is Coming Soon""","Musical Performance",20201010,5
202010107,"","Weekend Update",20201010,6
202010108,"Don Pauly","Sketch",20201010,7
202010109,"Samuel Adams Jack-O Pumpkin Ale","Commercial",20201010,8
2020101010,"""Lazaretto""","Musical Performance",20201010,9
2020101011,"","In Memoriam",20201010,10
2020101012,"","Goodnights",20201010,11
202010031,"The Presidential Debate","Cold Opening",20201003,0
202010032,"","Monologue",20201003,1
202010033,"Action 9 News At Five - Eye On Pittsburgh","Show",20201003,2
202010034,"Bottom of Your Face","Music Video",20201003,3
202010035,"Future Ghost","Sketch",20201003,4
202010036,"The Drew Barrymore Show","Commercial",20201003,5
202010037,"""Savage""","Musical Performance",20201003,6
202010038,"","Weekend Update",20201003,7
202010039,"NBA Bubble Draft Finals","Show",20201003,8
2020100310,"Stunt Performers Association Of America","Commercial",20201003,9
2020100311,"""Don't Stop""","Musical Performance",20201003,10
2020100312,"","Goodnights",20201003,11
202005091,"Virtual Graduation","Cold Opening",20200509,0
202005092,"","Monologue",20200509,1
202005093,"Italian Vacation","Sketch",20200509,2
202005094,"Let Kids Drink","Music Video",20200509,3
202005095,"MasterClass Quarantine Edition","Commercial",20200509,4
202005096,"Zoom Church","Sketch",20200509,5
202005097,"Danny Trejo","Music Video",20200509,6
202005098,"Bouncy Waves With PJ Charnt","Sketch",20200509,7
202005099,"","Intro",20200509,8
2020050910,"""A Song for Mama""","Musical Performance",20200509,9
2020050911,"","Weekend Update",20200509,10
2020050912,"What's Wrong With This Picture","Game Show",20200509,11
2020050913,"Eleanor's House","Sketch",20200509,12
2020050914,"Dad Pranks","Sketch",20200509,13
2020050915,"Lighthouse Keeper","Sketch",20200509,14
2020050916,"","In Memoriam",20200509,15
2020050917,"Beer Money","Sketch",20200509,16
2020050918,"Dreams","Film",20200509,17
2020050919,"","Goodnights",20200509,18
202004251,"A Message from Dr. Anthony Fauci","Cold Opening",20200425,0
202004252,"What Up With That?","Show",20200425,1
202004253,"In Depth with Brian Sutter","Show",20200425,2
202004254,"Stuck in the House","Music Video",20200425,3
202004255,"Bartenson's Grocery Store","Commercial",20200425,4
202004256,"Big Dominican Lunch","Show",20200425,5
202004257,"Airbnb","Commercial",20200425,6
202004258,"Released Early","Sketch",20200425,7
202004259,"""Wish You Were Here""","Musical Performance",20200425,8
2020042510,"","Weekend Update",20200425,9
2020042511,"SoulCycle Virtual Workouts","Sketch",20200425,10
2020042512,"OJ Address","Sketch",20200425,11
2020042513,"FaceTime","Sketch",20200425,12
2020042514,"The Reveal","Sketch",20200425,13
2020042515,"Pornhub","Commercial",20200425,14
2020042516,"Whiskers R' We","Commercial",20200425,15
2020042517,"What's My Name?","Music Video",20200425,16
2020042518,"Melissa's Big Date","Sketch",20200425,17
2020042519,"Aidy's Real Journals","Miscellaneous",20200425,18
202004111,"","Cold Opening",20200411,0
202004112,"","Monologue",20200411,1
202004113,"Drake Song","Music Video",20200411,2
202004114,"Working Out at Home with RBG","Sketch",20200411,3
202004115,"Zoom Call","Sketch",20200411,4
202004116,"A Message from Senator Bernie Sanders","Miscellaneous",20200411,5
202004117,"MasterClass Quarantine Edition","Commercial",20200411,6
202004118,"""Shelter from the Storm""","Musical Performance",20200411,7
202004119,"","Weekend Update",20200411,8
2020041110,"Bailey at the Movies","Sketch",20200411,9
2020041111,"Middle-Aged Mutant Ninja Turtles","Cartoon",20200411,10
2020041112,"Cam Playz Dat","Sketch",20200411,11
2020041113,"Sky Sport Report","Show",20200411,12
2020041114,"Whatcha' Cookin' On","Miscellaneous",20200411,13
2020041115,"Visualizations with Aidy","Miscellaneous",20200411,14
2020041116,"How Low Will You Go?","Game Show",20200411,15
2020041117,"Quarantine QT","Miscellaneous",20200411,16
2020041118,"$2000","Music Video",20200411,17
2020041119,"Hal Willner Tribute","Miscellaneous",20200411,18
2020041120,"","Goodnights",20200411,19
202003071,"The Ingraham Angle","Cold Opening",20200307,0
202003072,"","Monologue",20200307,1
202003073,"The Sands of Modesto","Show",20200307,2
202003074,"On The Couch","Music Video",20200307,3
202003075,"The Deirdre Show","Show",20200307,4
202003076,"Debbie Downer","Sketch",20200307,5
202003077,"""Blinding Lights""","Musical Performance",20200307,6
202003078,"","Weekend Update",20200307,7
202003079,"Accent Coach","Sketch",20200307,8
2020030710,"Deep Quote","Sketch",20200307,9
2020030711,"""Scared to Live""","Musical Performance",20200307,10
2020030712,"Overnight Salad","Music Video",20200307,11
2020030713,"","Goodnights",20200307,12
202002291,"White House Press Conference","Cold Opening",20200229,0
202002292,"","Monologue",20200229,1
202002293,"The Sound of Music","Show",20200229,2
202002294,"Uncle Meme","Sketch",20200229,3
202002295,"Kyle's Transformation","Film",20200229,4
202002296,"Say, Those Two Don't Seem To Like Each Other","Show",20200229,5
202002297,"""Once in a Lifetime""","Musical Performance",20200229,6
202002298,"","Weekend Update",20200229,7
202002299,"Airport Sushi","Musical Sketch",20200229,8
2020022910,"""Toe Jam""","Musical Performance",20200229,9
2020022911,"Forgotten Figures Of Black History","Show",20200229,10
2020022912,"","Goodnights",20200229,11
202002081,"Democratic Debate","Cold Opening",20200208,0
202002082,"","Monologue",20200208,1
202002083,"Family Charades","Sketch",20200208,2
202002084,"The Queen","Film",20200208,3
202002085,"Check Splitting","Sketch",20200208,4
202002086,"Boop-It","Commercial",20200208,5
202002087,"Reading","Sketch",20200208,6
202002088,"""Yummy""","Musical Performance",20200208,7
202002089,"","Weekend Update",20200208,8
2020020810,"Thirsty Cops","Sketch",20200208,9
2020020811,"The Old New York Show","Show",20200208,10
2020020812,"""Intentions""","Musical Performance",20200208,11
2020020813,"","Goodnights",20200208,12
202002011,"The Trial You Wish Had Happened","Cold Opening",20200201,0
202002012,"","Monologue",20200201,1
202002013,"Frozen II","Sketch",20200201,2
202002014,"Robbie","Film",20200201,3
202002015,"Sex Talk","Sketch",20200201,4
202002016,"Olay Eye Black","Commercial",20200201,5
202002017,"""Lovin' On You""","Musical Performance",20200201,6
202002018,"","Weekend Update",20200201,7
202002019,"Pilot Hunk","Show",20200201,8
2020020110,"Madden 21","Sketch",20200201,9
2020020111,"Food Dudes","Commercial",20200201,10
2020020112,"""Beer Never Broke My Heart""","Musical Performance",20200201,11
2020020113,"My Fair Bigfoot","Sketch",20200201,12
2020020114,"Big Willie's Pizza","Sketch",20200201,13
2020020115,"","Goodnights",20200201,14
202001251,"Dershowitz in Hell","Cold Opening",20200125,0
202001252,"","Monologue",20200125,1
202001253,"Sleepover","Sketch",20200125,2
202001254,"Undercover Boss: Where Are They Now?","Show",20200125,3
202001255,"Del Taco Commercial Shoot","Sketch",20200125,4
202001256,"The Science Room","Show",20200125,5
202001257,"Slow","Music Video",20200125,6
202001258,"""You Should Be Sad""","Musical Performance",20200125,7
202001259,"","Weekend Update",20200125,8
2020012510,"","In Memoriam",20200125,9
2020012511,"Medieval Times","Sketch",20200125,10
2020012512,"Cheer","Sketch",20200125,11
2020012513,"Marrying Ketchups","Sketch",20200125,12
2020012514,"""Finally // Beautiful Stranger""","Musical Performance",20200125,13
2020012515,"","Goodnights",20200125,14
201912211,"Democratic Debate","Cold Opening",20191221,0
201912212,"","Monologue",20191221,1
201912213,"Mister Robinson's Neighborhood","Show",20191221,2
201912214,"Holiday Baking Championship","Show",20191221,3
201912215,"Home for the Holidays","Film",20191221,4
201912216,"The Masked Singer","Show",20191221,5
201912217,"""Truth Hurts""","Musical Performance",20191221,6
201912218,"","Weekend Update",20191221,7
201912219,"Black Jeopardy!","Game Show",20191221,8
2019122110,"""Good As Hell""","Musical Performance",20191221,9
2019122111,"North Pole News Special Report","Show",20191221,10
2019122112,"","Goodnights",20191221,11
201912141,"American Households","Cold Opening",20191214,0
201912142,"","Monologue",20191214,1
201912143,"Singing Elves","Sketch",20191214,2
201912144,"Macy's","Commercial",20191214,3
201912145,"Office Apology","Sketch",20191214,4
201912146,"A Conway Marriage Story","Film",20191214,5
201912147,"""Nice To Meet Ya""","Musical Performance",20191214,6
201912148,"","Weekend Update",20191214,7
201912149,"Hot Tub Christmas","Sketch",20191214,8
2019121410,"A Winter Boyfriend For Holiday Christmas","Game Show",20191214,9
2019121411,"I Saw Mommy Kissing Santa Claus","Music Video",20191214,10
2019121412,"""Put A Little Love On Me""","Musical Performance",20191214,11
2019121413,"Celebrity Sighting","Sketch",20191214,12
2019121414,"Pet Translator","Sketch",20191214,13
2019121415,"","Goodnights",20191214,14
201912071,"NATO Cafeteria","Cold Opening",20191207,0
201912072,"","Monologue",20191207,1
201912073,"Surprise Home Makeover: Holiday Edition","Show",20191207,2
201912074,"The Roadie","Film",20191207,3
201912075,"What Do You Figure Is Goin' On In That House?","Show",20191207,4
201912076,"Them Trumps","Commercial",20191207,5
201912077,"""BOP""","Musical Performance",20191207,6
201912078,"","Weekend Update",20191207,7
201912079,"Hip Hop Carolers","Sketch",20191207,8
2019120710,"Hoops","Commercial",20191207,9
2019120711,"PottyPM","Commercial",20191207,10
2019120712,"Hardware Store","Sketch",20191207,11
2019120713,"""Suge""","Musical Performance",20191207,12
2019120714,"Barry's Bootcamp","Sketch",20191207,13
2019120715,"","Goodnights",20191207,14
201911231,"Press Conference","Cold Opening",20191123,0
201911232,"","Monologue",20191123,1
201911233,"Heinz Relax","Commercial",20191123,2
201911234,"Democratic Debate","Show",20191123,3
201911235,"First Thanksgiving","Sketch",20191123,4
201911236,"Party Song","Music Video",20191123,5
201911237,"Bertucci's Commercial","Sketch",20191123,6
201911238,"""1950""","Musical Performance",20191123,7
201911239,"","Weekend Update",20191123,8
2019112310,"Cinema Classics","Show",20191123,9
2019112311,"""Hit the Back""","Musical Performance",20191123,10
2019112312,"Ventriloquist","Sketch",20191123,11
2019112313,"","Goodnights",20191123,12
201911161,"Days of our Impeachment","Cold Opening",20191116,0
201911162,"","Monologue",20191116,1
201911163,"Lunch Run","Sketch",20191116,2
201911164,"Doug","Film",20191116,3
201911165,"Childbirth Class","Sketch",20191116,4
201911166,"Airline Pilots","Sketch",20191116,5
201911167,"That's The Game","Film",20191116,6
201911168,"""Lights Up""","Musical Performance",20191116,7
201911169,"","Weekend Update",20191116,8
2019111610,"","In Memoriam",20191116,9
2019111611,"Sara Lee","Sketch",20191116,10
2019111612,"Baby Faye and Her Newsboys","Sketch",20191116,11
2019111613,"""Watermelon Sugar""","Musical Performance",20191116,12
2019111614,"Funeral DJs","Sketch",20191116,13
2019111615,"","Goodnights",20191116,14
201911021,"Warren Rally","Cold Opening",20191102,0
201911022,"","Monologue",20191102,1
201911023,"Factory Workers","Sketch",20191102,2
201911024,"Duolingo for Talking to Children","Commercial",20191102,3
201911025,"New Paint","Sketch",20191102,4
201911026,"Press Conference","Sketch",20191102,5
201911027,"Corporate Nightmare","Music Video",20191102,6
201911028,"""Orphans""","Musical Performance",20191102,7
201911029,"","Weekend Update",20191102,8
2019110210,"Hungry Jury","Sketch",20191102,9
2019110211,"Proposition","Sketch",20191102,10
2019110212,"""Everyday Life""","Musical Performance",20191102,11
2019110213,"Stargazing","Sketch",20191102,12
2019110214,"","Goodnights",20191102,13
201910261,"Trump Rally","Cold Opening",20191026,0
201910262,"","Monologue",20191026,1
201910263,"League of Legends World Championship","Show",20191026,2
201910264,"First Impressions Court","Show",20191026,3
201910265,"Tasty Toaster Tarts","Commercial",20191026,4
201910266,"Graveyard Ghosts","Sketch",20191026,5
201910267,"""Zanies and Fools""","Musical Performance",20191026,6
201910268,"","Weekend Update",20191026,7
201910269,"Love at First Sight","Sketch",20191026,8
2019102610,"Space Mistakes","Commercial",20191026,9
2019102611,"Dazzle Designs","Commercial",20191026,10
2019102612,"""Handsome""","Musical Performance",20191026,11
2019102613,"Dance Rehearsal","Sketch",20191026,12
2019102614,"","Goodnights",20191026,13
201910121,"Equality Town Hall","Cold Opening",20191012,0
201910122,"","Monologue",20191012,1
201910123,"Little Miss Teacher's Friend","Sketch",20191012,2
201910124,"Grouch","Commercial",20191012,3
201910125,"SoulCycle","Sketch",20191012,4
201910126,"""Cry For Me""","Musical Performance",20191012,5
201910127,"","Weekend Update",20191012,6
201910128,"Folk Of The Past","Show",20191012,7
201910129,"Father-Son Podcasting Microphone","Commercial",20191012,8
2019101210,"Sauce","Sketch",20191012,9
2019101211,"""Easy""","Musical Performance",20191012,10
2019101212,"Dog Court","Show",20191012,11
2019101213,"","Goodnights",20191012,12
201910051,"Impeachment Strategy","Cold Opening",20191005,0
201910052,"","Monologue",20191005,1
201910053,"What's Wrong With This Picture","Game Show",20191005,2
201910054,"Love Island","Commercial",20191005,3
201910055,"7 WANU Mid-Day","Show",20191005,4
201910056,"The War In Words","Show",20191005,5
201910057,"""Lover""","Musical Performance",20191005,6
201910058,"","Weekend Update",20191005,7
201910059,"Royal Romance","Show",20191005,8
2019100510,"""False God""","Musical Performance",20191005,9
2019100511,"State Line Bar","Sketch",20191005,10
2019100512,"","Goodnights",20191005,11
201909281,"Impeachment","Cold Opening",20190928,0
201909282,"","Monologue",20190928,1
201909283,"Impeachment Town Hall","Show",20190928,2
201909284,"Sun's Out Nevada!","Show",20190928,3
201909285,"""Bad Guy""","Musical Performance",20190928,4
201909286,"","Weekend Update",20190928,5
201909287,"Locker Room","Sketch",20190928,6
201909288,"Inside The Beltway","Show",20190928,7
201909289,"Downton Abbey (II)","Commercial",20190928,8
2019092810,"""I Love You""","Musical Performance",20190928,9
2019092811,"Dad","Music Video",20190928,10
2019092812,"Chickham's Apple Farm","Commercial",20190928,11
2019092813,"","Goodnights",20190928,12
201905181,"Don't Stop Me Now","Cold Opening",20190518,0
201905182,"","Monologue",20190518,1
201905183,"A Journey Through Time","Sketch",20190518,2
201905184,"Grace and Frankie Rap","Music Video",20190518,3
201905185,"What's Wrong With This Picture","Game Show",20190518,4
201905186,"""Jealous"", ""You Stay""","Musical Performance",20190518,5
201905187,"","Weekend Update",20190518,6
201905188,"Music Box","Sketch",20190518,7
201905189,"The View","Show",20190518,8
2019051810,"""Just Us"", ""Weather the Storm"", ""Higher""","Musical Performance",20190518,9
2019051811,"Leslie & Kyle","Film",20190518,10
2019051812,"Ouija Board","Sketch",20190518,11
2019051813,"","Goodnights",20190518,12
201905111,"Meet The Press","Cold Opening",20190511,0
201905112,"","Monologue",20190511,1
201905113,"Etiquette Lesson","Sketch",20190511,2
201905114,"The Perfect Mother","Film",20190511,3
201905115,"Cinema Classics","Show",20190511,4
201905116,"Chopped","Show",20190511,5
201905117,"Judge Court","Show",20190511,6
201905118,"""Sucker""","Musical Performance",20190511,7
201905119,"","Weekend Update",20190511,8
2019051110,"Beauty and the Beast","Show",20190511,9
2019051111,"Tracy","Show",20190511,10
2019051112,"""Cool"", ""Burnin' Up""","Musical Performance",20190511,11
2019051113,"Wait A Second, That Shouldn't Be There!","Show",20190511,12
2019051114,"","Goodnights",20190511,13
201905041,"Family Feud","Cold Opening",20190504,0
201905042,"","Monologue",20190504,1
201905043,"CNN Special Report","Show",20190504,2
201905044,"Holes","Music Video",20190504,3
201905045,"Romano Tours","Commercial",20190504,4
201905046,"Sandler Family Reunion","Sketch",20190504,5
201905047,"Rectix","Commercial",20190504,6
201905048,"""If I Can't Have You""","Musical Performance",20190504,7
201905049,"","Weekend Update",20190504,8
2019050410,"Last Call","Sketch",20190504,9
2019050411,"""In My Blood""","Musical Performance",20190504,10
2019050412,"Chris Farley Song","Miscellaneous",20190504,11
2019050413,"","Goodnights",20190504,12
201904131,"Jail Cell","Cold Opening",20190413,0
201904132,"","Monologue",20190413,1
201904133,"Posters","Sketch",20190413,2
201904134,"Fashion Coward","Commercial",20190413,3
201904135,"The View","Show",20190413,4
201904136,"Hobbies","Music Video",20190413,5
201904137,"Ladie's Room","Sketch",20190413,6
201904138,"""Boy with Luv""","Musical Performance",20190413,7
201904139,"","Weekend Update",20190413,8
2019041310,"Royal Baby Video","Sketch",20190413,9
2019041311,"""Mic Drop""","Musical Performance",20190413,10
2019041312,"The Actress","Film",20190413,11
2019041313,"Chalmers Reserve Event Wine","Commercial",20190413,12
2019041314,"","Goodnights",20190413,13
201904061,"Biden Headquarters","Cold Opening",20190406,0
201904062,"","Monologue",20190406,1
201904063,"2019 Nephew Pageant","Show",20190406,2
201904064,"HBO","Commercial",20190406,3
201904065,"Sinatra Impersonator","Sketch",20190406,4
201904066,"Earthwar 3","Sketch",20190406,5
201904067,"""Fire""","Musical Performance",20190406,6
201904068,"","Weekend Update",20190406,7
201904069,"Bachelorette Party","Sketch",20190406,8
2019040610,"A Day in the Life of Theresa May","Film",20190406,9
2019040611,"Graphics Department","Sketch",20190406,10
2019040612,"""Saint Honesty""","Musical Performance",20190406,11
2019040613,"Exam","Sketch",20190406,12
2019040614,"","Goodnights",20190406,13
201903301,"The Mueller Report","Cold Opening",20190330,0
201903302,"","Monologue",20190330,1
201903303,"Discover","Commercial",20190330,2
201903304,"Empire Meeting","Sketch",20190330,3
201903305,"The Duel","Film",20190330,4
201903306,"Future Self","Sketch",20190330,5
201903307,"Kremlin Meeting","Sketch",20190330,6
201903308,"""Patience""","Musical Performance",20190330,7
201903309,"","Weekend Update",20190330,8
2019033010,"Louise's Birthday","Sketch",20190330,9
2019033011,"Cheques","Miscellaneous",20190330,10
2019033012,"Roots Of Rock","Show",20190330,11
2019033013,"""Borderline""","Musical Performance",20190330,12
2019033014,"Test Prep","Sketch",20190330,13
2019033015,"","Goodnights",20190330,14
201903091,"The Gayle King Interview With R. Kelly","Cold Opening",20190309,0
201903092,"","Monologue",20190309,1
201903093,"Can I Play That?","Game Show",20190309,2
201903094,"Bok Bok's","Commercial",20190309,3
201903095,"PowerPoint Workshop","Sketch",20190309,4
201903096,"The Impossible Hulk","Show",20190309,5
201903097,"The Gold Diggers Of The WNBA","Sketch",20190309,6
201903098,"""Talk""","Musical Performance",20190309,7
201903099,"","Weekend Update",20190309,8
2019030910,"Sky Sports","Show",20190309,9
2019030911,"Magic Show","Sketch",20190309,10
